category,order,year,workers,observations,share
Basica primaria,3.0,2021,4128673.310304697,65891,0.20254143603027977
Basica secundaria,4.0,2021,2399015.029092761,43020,0.1176891249394619
Doctorado,6.6,2021,38752.602625420084,699,0.0019010968404967153
Especializacion,6.4,2021,654922.4507209195,12168,0.032128706654122666
Maestria,6.5,2021,339739.0897067061,5274,0.016666671817571834
Media academica,5.1,2021,6227499.27206647,112237,0.30550410522763755
Media tecnica,5.2,2021,473906.22174668784,9440,0.023248544867110008
Normalista,5.3,2021,32342.143301445616,616,0.001586617214838064
Preescolar o ninguno,1.0,2021,704172.9612003223,10105,0.03454480218118349
Tecnica profesional,6.1,2021,1530399.0073334514,31341,0.07507719534771234
Tecnologica,6.2,2021,798445.3247012739,13849,0.03916954685008105
Universitaria,6.3,2021,3056471.6697343625,61151,0.1499421520295046
Total,99.0,2021,20384339.082534518,365791,1.0
Basica primaria,3.0,2025,4355012.847014826,61315,0.18277322022827092
Basica secundaria,4.0,2025,2589896.8525506537,37829,0.10869400491532806
Doctorado,6.6,2025,62872.602912976334,909,0.002638666865567327
Especializacion,6.4,2025,838876.2046553984,12696,0.03520634971325843
Maestria,6.5,2025,474947.65387832694,6111,0.019932825731778726
Media academica,5.1,2025,7539397.944832663,113831,0.3164169864398984
Media tecnica,5.2,2025,635071.2926617425,9184,0.026652969649419316
Normalista,5.3,2025,28263.811586546584,516,0.0011861888910704855
Preescolar o ninguno,1.0,2025,706778.5442026438,9178,0.02966241318913996
Tecnica profesional,6.1,2025,1957192.1263402451,33165,0.08214035643587751
Tecnologica,6.2,2025,1045093.7764575846,15570,0.04386098541468371
Universitaria,6.3,2025,3594008.485537137,57724,0.1508350325257071
Total,99.0,2025,23827412.142630745,358028,1.0
