indicador,cine11_hom_cod,grupo_educativo,anio,obs_sin_expandir,ocupados_expandido,p10,p50,p90,p90_p10,sd_log
rem_mensual,1,Ninguno,2010,51805,3545522.702446886,0.1658488767869299,0.6219332879509871,1.4097154526889042,8.5,0.9335361037310607
rem_mensual,1,Ninguno,2025,33535,2450624.0519287298,0.2,0.75,1.6,8.0,0.8921199917809537
rem_mensual,2,Básica primaria,2010,81198,4483433.649262577,0.20731109598366237,0.8499754935330157,1.658488767869299,8.0,0.9024989477681109
rem_mensual,2,Básica primaria,2025,60439,4146506.0181196663,0.3,1.0,1.8,6.0,0.8204507765104256
rem_mensual,3,Básica secundaria,2010,19980,1010796.4415293331,0.18657998638529613,0.9743621511232131,1.8657998638529611,9.999999999999998,0.965639155843339
rem_mensual,3,Básica secundaria,2025,14834,1038370.3412595561,0.3,1.0999999999999999,1.9199999999999997,6.3999999999999995,0.8005192156814943
rem_mensual,4,Educación media,2010,99953,4798472.194935736,0.31096664397549356,1.067652144315861,2.384077603812117,7.666666666666666,0.8686205096634505
rem_mensual,4,Educación media,2025,127739,8417431.04126781,0.4,1.4235,2.2,5.5,0.7571606185843838
rem_mensual,5,Técnico o tecnológico,2010,25733,1231839.4884643804,0.6219332879509871,1.4511776718856366,3.316977535738598,5.333333333333333,0.7832543397069831
rem_mensual,5,Técnico o tecnológico,2025,48004,2970649.248436016,0.6999999999999998,1.5999999999999999,3.0,4.2857142857142865,0.6988571568592118
rem_mensual,6,Pregrado universitario,2010,27869,1212962.179220444,1.067652144315861,2.8505275697753567,6.633955071477196,6.2135922330097095,0.808315615358443
rem_mensual,6,Pregrado universitario,2025,45105,2741677.13120973,1.3999999999999997,2.8,6.0,4.2857142857142865,0.7656235705246665
rem_mensual,7,Posgrado,2010,10665,477100.94729526195,2.280422055820286,4.871810755616066,12.438665759019742,5.454545454545455,0.748985697647796
rem_mensual,7,Posgrado,2025,17415,1182717.7445165855,2.4999999999999996,5.2,13.0,5.200000000000001,0.711874609159592
rem_hora,1,Ninguno,2010,51805,3545522.702446886,1.1597823551533561,3.417215867862567,6.976815730219407,6.015624999999999,0.8030427912646109
rem_hora,1,Ninguno,2025,33535,2450624.0519287298,1.4423076923076923,4.3269230769230775,8.538461538461538,5.92,0.7536215337878917
rem_hora,2,Básica primaria,2010,81198,4483433.649262577,1.5035749818595294,4.2041119770308235,8.372178876263288,5.5681818181818175,0.7614836222697962
rem_hora,2,Básica primaria,2025,60439,4146506.0181196663,2.051282051282051,5.480769230769231,9.23076923076923,4.5,0.6898046737842182
rem_hora,3,Básica secundaria,2010,19980,1010796.4415293331,1.5947007383358647,4.784102215007593,9.302420973625876,5.833333333333333,0.7741381528987146
rem_hora,3,Básica secundaria,2025,14834,1038370.3412595561,2.3076923076923075,5.769230769230769,9.615384615384615,4.166666666666667,0.6492318987054216
rem_hora,4,Educación media,2010,99953,4798472.194935736,2.2425479132848096,5.232611797664554,11.960255537518984,5.333333333333333,0.7511849383639503
rem_hora,4,Educación media,2025,127739,8417431.04126781,2.8846153846153846,6.9230769230769225,11.538461538461538,4.0,0.6387774690614283
rem_hora,5,Técnico o tecnológico,2010,25733,1231839.4884643804,3.654522525353023,7.245301325045475,17.086079339312832,4.675324675324674,0.707924626615943
rem_hora,5,Técnico o tecnológico,2025,48004,2970649.248436016,4.4230769230769225,8.142140468227424,16.153846153846153,3.6521739130434785,0.6201558313192084
rem_hora,6,Pregrado universitario,2010,27869,1212962.179220444,5.980127768759492,15.548332198774679,37.209683894503506,6.222222222222222,0.771185797427555
rem_hora,6,Pregrado universitario,2025,45105,2741677.13120973,6.84375,15.0,35.11705685618729,5.131259449305905,0.7409708465497041
rem_hora,7,Posgrado,2010,10665,477100.94729526195,13.15628109127088,28.70461329004556,68.57213174844217,5.212121212121213,0.7047589505791388
rem_hora,7,Posgrado,2025,17415,1182717.7445165855,13.468445915483187,29.670329670329668,71.50927456559437,5.309393155997904,0.6967474446073558
