anio,cohorte,orden_cohorte,edad_media,edad_intervalo,edad_intervalo_inicio,edad_intervalo_centro,ocupados,rem_trabajador,rem_hora
2010,1960--1970,0,45.33573057402586,45--54,45,49.5,3836657.5945660905,1713475.6476900035,8295.338208186851
2015,1960--1970,0,50.216363751135134,45--54,45,49.5,3696711.790109182,1672238.8709719994,8426.606982300938
2021,1960--1970,0,55.9941376259713,55--64,55,59.5,2572787.078811438,1829320.4370852776,9567.424465187165
2025,1960--1970,0,59.966272079040486,55--64,55,59.5,2674459.4209591583,1790652.406006947,9775.918134744874
2010,1970--1980,1,35.502492540898395,35--44,35,39.5,4155033.8676462118,1673202.22079182,7998.793895813408
2015,1970--1980,1,40.41793463876352,35--44,35,39.5,4192250.894791223,1739197.6075993506,8584.910661112375
2021,1970--1980,1,46.33553908880271,45--54,45,49.5,3648917.442344861,1929868.3988852846,9832.70801906452
2025,1970--1980,1,50.25889232660972,45--54,45,49.5,4315760.043381143,2067610.8199179787,10805.439289634764
2010,1980--1990,2,25.78706075606427,25--34,25,29.5,4239549.091754083,1352772.5673468192,6532.5727906203765
2015,1980--1990,2,30.498022619721112,25--34,25,29.5,4748319.406495794,1667692.5612159122,8180.713869797737
2021,1980--1990,2,36.46069447677648,35--44,35,39.5,4491088.253691835,2002790.9376456325,10019.987800057695
2025,1980--1990,2,40.4904825228499,35--44,35,39.5,5578436.723488072,2240656.2878020946,11540.245619660174
2010,1990--2000,3,18.296917565821065,15--24,15,19.5,1128783.4404097102,714454.7250627879,3967.9708604904063
2015,1990--2000,3,21.521792972748468,15--24,15,19.5,3352229.2146826657,1106737.533832921,5787.0481947051085
2021,1990--2000,3,26.7176505424458,25--34,25,29.5,4512925.450672683,1553020.244603616,7833.805658822885
2025,1990--2000,3,30.58844036831937,25--34,25,29.5,5986584.648287879,1965124.3135205726,10142.094158824459
2015,2000--2010,4,15.0,15--24,15,19.5,59575.521434351955,425801.79756976233,3380.7601981015755
2021,2000--2010,4,19.33624541803895,15--24,15,19.5,1105474.4633840395,887773.1951161587,4918.418451840428
2025,2000--2010,4,21.901997648814323,15--24,15,19.5,3239509.4438559427,1316991.1636764498,7108.985546674246
