anio,cine11_hom_cod,grupo_educativo,ocupados,rem_ocupados,horas_mensuales,rem_total_mensual,rem_por_trabajador,rem_por_hora,participacion_empleo,participacion_horas
2010,1,Ninguno,3945359.1220526611,3545522.7024468603,699721983.89502692,2856883018984.1074,805772.02820122847,4082.883037461776,0.21322357109612855,0.20568419918529646
2011,1,Ninguno,3878161.4100740887,3501219.517970013,689174622.64007962,2818340464820.1606,804959.65772926412,4089.4431864361241,0.20268135880271657,0.19702371564482171
2012,1,Ninguno,3920712.475391116,3491539.4418251212,673266940.45416176,2816569216335.9941,806684.06107527681,4183.43608916255,0.1988826080092809,0.19010936317174656
2013,1,Ninguno,3782417.8834641785,3357228.02064907,646058775.07397354,2735835496927.7324,814909.0499961928,4234.6541870195633,0.189755123965466,0.18205084117150189
2014,1,Ninguno,3674665.3152861148,3237174.848026223,623306351.23116434,2698526094704.8481,833605.29516970611,4329.3736528990567,0.17997829578276003,0.17351748926508925
2015,1,Ninguno,3640712.799839797,3205750.7969332216,607143862.79795516,2551606950702.2813,795946.75704152475,4202.6397811936758,0.17504856928830925,0.16642656380763035
2016,1,Ninguno,3539221.8377675046,3089811.2368074935,586609096.04126883,2521138090059.7773,815952.13973806042,4297.8162239107378,0.16916901248614979,0.1610650504814049
2017,1,Ninguno,3468664.1078876951,3035584.0024139709,570232300.53140211,2485375204100.6938,818746.96998148051,4358.5310789735358,0.16421951423320313,0.15756120909078586
2018,1,Ninguno,3305852.6122687152,2901158.8746184018,543932675.929095,2362871178964.7593,814457.69814159349,4344.0508054213205,0.15543179730548898,0.14898069688917179
2019,1,Ninguno,3084819.345723636,2794399.21210434,519820385.80963427,2242688427638.9146,802565.50958230614,4314.3525895889343,0.144775048798231,0.13615492951943325
2021,1,Ninguno,2632194.7621436566,2342490.0861599552,430657327.00711083,1864130221965.7854,795790.015496567,4328.5696191928619,0.12998858116563439,0.12658558206748685
2022,1,Ninguno,2709019.7439362267,2511577.5384532833,455549232.44085294,1953973345383.1604,777986.47084034886,4289.2693176403454,0.12302326075333815,0.11342008044786038
2023,1,Ninguno,2727976.8856302062,2555684.0783698494,465238390.12882358,2067089254972.8123,808820.33599838021,4443.0754186051572,0.1197703212993529,0.11155482469551618
2024,1,Ninguno,2616781.663914456,2418226.2374484004,434531495.1819095,1991676013579.9194,823610.29035953362,4583.5020836548038,0.11362979816699523,0.10494278777134376
2025,1,Ninguno,2584364.1751690838,2450624.0519287242,439559615.02202624,2185688886337.6594,891890.7347773104,4972.4515438665467,0.10847295223429482,0.10106270050400479
2010,2,Básica primaria,4962675.17050262,4483433.6492625969,929702868.38112843,4496012972931.293,1002805.7343216767,4835.9676256136581,0.26820354986953032,0.27328738322438256
2011,2,Básica primaria,5087997.7977756858,4585556.93051678,946703843.304968,4733668226838.8086,1032299.5218609872,5000.15739908,0.26591010486556943,0.27064709392323238
2012,2,Básica primaria,5154360.1912283516,4602916.3576196041,940027015.13020921,4874777161660.4775,1059062.7295651026,5185.7841138589411,0.26146079415028994,0.26543400020516655
2013,2,Básica primaria,4975671.6640970018,4438215.1490631113,901292161.37901807,4687564857539.7861,1056182.4292202941,5200.9382289174673,0.2496178958860733,0.25397224285289527
2014,2,Básica primaria,5007820.9925153386,4439184.5748630548,891783594.2161063,4697427121115.7578,1058173.4194417158,5267.4518252882644,0.24527378971596603,0.24825681613949704
2015,2,Básica primaria,5033026.4770675646,4480452.1602738034,893524919.282976,4688971434059.3984,1046539.7835589997,5247.7231836154515,0.24199219560510912,0.24492758817895244
2016,2,Básica primaria,4865783.9108366184,4286092.8304997012,853820815.34485054,4392617302102.0942,1024853.5148012587,5144.6594216937137,0.23257650887644069,0.23443327703857814
2017,2,Básica primaria,4877770.7033440378,4271496.1950463774,845628855.36113024,4430724705856.8545,1037276.9876267555,5239.5618689770117,0.23093188343679263,0.23365618673055097
2018,2,Básica primaria,4853286.2184066633,4279163.4413021058,842222249.33538985,4426825665609.0049,1034507.2644063268,5256.1252912782575,0.22818772892818551,0.23068086032380339
2019,2,Básica primaria,4706805.3523161365,4281471.8434447721,838896121.81006742,4359707583628.2969,1018273.0946376091,5196.9576092704465,0.22089720602601265,0.21972944012435208
2021,2,Básica primaria,3924080.8007135862,3467664.6842525443,666349239.17112029,3403376699131.104,981460.726173039,5107.49693863927,0.19378721628055073,0.19586385975806356
2022,2,Básica primaria,4187645.5941831716,3921734.6388599467,751738732.67738986,3774434484825.6792,962440.0507431865,5020.9392183141445,0.19017130348677586,0.18716367291237254
2023,2,Básica primaria,4261484.0855360618,4021104.3793661795,766697813.8050772,3897190685285.3594,969184.16375444806,5083.0856891893636,0.1870981095277216,0.18383874166054553
