year,zip,group,characteristics,occupied,occupied_rows,characteristics_duplicate_keys,occupied_duplicate_keys,unmatched_occupied_rows,valid_rows,expanded_workers
2021,GEIH_2021_marco2018_I.zip,GEIH - Marco-2018(I.Semestre)\Abril 2021\CSV abr21,"GEIH - Marco-2018(I.Semestre)/Abril 2021/CSV abr21/Características generales, seguridad social en salud y educación.CSV",GEIH - Marco-2018(I.Semestre)/Abril 2021/CSV abr21/Ocupados.CSV,32013,0,0,0,28185,1441969.5123907267
2021,GEIH_2021_marco2018_I.zip,GEIH - Marco-2018(I.Semestre)\Enero 2021\CSV ENE21,"GEIH - Marco-2018(I.Semestre)/Enero 2021/CSV ENE21/Características generales, seguridad social en salud y educación.CSV",GEIH - Marco-2018(I.Semestre)/Enero 2021/CSV ENE21/Ocupados.CSV,28029,0,0,0,22654,1229827.0711022518
2021,GEIH_2021_marco2018_I.zip,GEIH - Marco-2018(I.Semestre)\Feb 2021\CSV FEB 21,"GEIH - Marco-2018(I.Semestre)/Feb 2021/CSV FEB 21/Características generales, seguridad social en salud y educación.CSV",GEIH - Marco-2018(I.Semestre)/Feb 2021/CSV FEB 21/Ocupados.CSV,29123,0,0,0,24135,1352493.9143973722
2021,GEIH_2021_marco2018_I.zip,GEIH - Marco-2018(I.Semestre)\Junio 2021\CSV,"GEIH - Marco-2018(I.Semestre)/Junio 2021/CSV/Características generales, seguridad social en salud y educación.csv",GEIH - Marco-2018(I.Semestre)/Junio 2021/CSV/Ocupados.csv,29217,0,0,0,25637,1483710.3310605544
2021,GEIH_2021_marco2018_I.zip,GEIH - Marco-2018(I.Semestre)\Mar 2021\CSV MAR21,"GEIH - Marco-2018(I.Semestre)/Mar 2021/CSV MAR21/Características generales, seguridad social en salud y educación.CSV",GEIH - Marco-2018(I.Semestre)/Mar 2021/CSV MAR21/Ocupados.CSV,31135,0,0,0,26713,1418888.8137420272
2021,GEIH_2021_marco2018_I.zip,GEIH - Marco-2018(I.Semestre)\Mayo 2021\CSV,"GEIH - Marco-2018(I.Semestre)/Mayo 2021/CSV/Características generales, seguridad social en salud y educación.csv",GEIH - Marco-2018(I.Semestre)/Mayo 2021/CSV/Ocupados.csv,30250,0,0,0,26967,1499263.3807664847
2021,GEIH_2021_marco2018_II.zip,GEIH_MARCO 2018(II. semestre)\GEIH - Agosto - Marco - 2018\CSV,"GEIH_MARCO 2018(II. semestre)/GEIH - Agosto - Marco - 2018/CSV/Características generales, seguridad social en salud y educación.csv",GEIH_MARCO 2018(II. semestre)/GEIH - Agosto - Marco - 2018/CSV/Ocupados.csv,30101,0,0,0,26470,1532068.9756907076
2021,GEIH_2021_marco2018_II.zip,GEIH_MARCO 2018(II. semestre)\GEIH - Diciembre - Marco - 2018\CSV,"GEIH_MARCO 2018(II. semestre)/GEIH - Diciembre - Marco - 2018/CSV/Características generales, seguridad social en salud y educación.csv",GEIH_MARCO 2018(II. semestre)/GEIH - Diciembre - Marco - 2018/CSV/Ocupados.csv,32232,0,0,0,27161,1531558.7516170717
2021,GEIH_2021_marco2018_II.zip,GEIH_MARCO 2018(II. semestre)\GEIH - Julio - Marco - 2018\CSV,"GEIH_MARCO 2018(II. semestre)/GEIH - Julio - Marco - 2018/CSV/Características generales, seguridad social en salud y educación.csv",GEIH_MARCO 2018(II. semestre)/GEIH - Julio - Marco - 2018/CSV/Ocupados.csv,29799,0,0,0,26202,1509909.8424006656
2021,GEIH_2021_marco2018_II.zip,GEIH_MARCO 2018(II. semestre)\GEIH - Noviembre - Marco - 2018\CSV,"GEIH_MARCO 2018(II. semestre)/GEIH - Noviembre - Marco - 2018/CSV/Características generales, seguridad social en salud y educación.csv",GEIH_MARCO 2018(II. semestre)/GEIH - Noviembre - Marco - 2018/CSV/Ocupados.csv,32545,0,0,0,27803,1528384.2005719785
2021,GEIH_2021_marco2018_II.zip,GEIH_MARCO 2018(II. semestre)\GEIH - Septiembre - Marco - 2018\CSV,"GEIH_MARCO 2018(II. semestre)/GEIH - Septiembre - Marco - 2018/CSV/Características generales, seguridad social en salud y educación.csv",GEIH_MARCO 2018(II. semestre)/GEIH - Septiembre - Marco - 2018/CSV/Ocupados.csv,30365,0,0,0,26647,1526305.4927860675
2021,GEIH_2021_marco2018_II.zip,GEIH_MARCO 2018(II. semestre)\GEIH_Octubre_Marco_2018\CSV,"GEIH_MARCO 2018(II. semestre)/GEIH_Octubre_Marco_2018/CSV/Características generales, seguridad social en salud y educación.csv",GEIH_MARCO 2018(II. semestre)/GEIH_Octubre_Marco_2018/CSV/Ocupados.csv,31090,0,0,0,27104,1544792.8542844113
2025,GEIH_2025_01.zip,CSV,"CSV/Características generales, seguridad social en salud y educación.CSV",CSV/Ocupados.CSV,28317,0,0,0,27259,1827213.8044076452
2025,GEIH_2025_02.zip,CSV,"CSV/Características generales, seguridad social en salud y educación.CSV",CSV/Ocupados.CSV,29211,0,0,0,28122,1869995.8924355982
2025,GEIH_2025_03.zip,CSV,"CSV/Características generales, seguridad social en salud y educación.CSV",CSV/Ocupados.CSV,29471,0,0,0,28449,1892469.6541258432
2025,GEIH_2025_04.zip,CSV,"CSV/Características generales, seguridad social en salud y educación.CSV",CSV/Ocupados.CSV,29514,0,0,0,28634,1891001.7751472383
2025,GEIH_2025_05.zip,CSV,"CSV/Características generales, seguridad social en salud y educación.CSV",CSV/Ocupados.CSV,29957,0,0,0,29103,1900575.97502921
2025,GEIH_2025_06.zip,CSV,"CSV/Características generales, seguridad social en salud y educación.CSV",CSV/Ocupados.CSV,29706,0,0,0,28902,1918317.647358444
2025,GEIH_2025_07.zip,CSV,"CSV/Características generales, seguridad social en salud y educación.CSV",CSV/Ocupados.CSV,30153,0,0,0,29292,1920360.88388468
2025,GEIH_2025_08.zip,CSV,"CSV/Características generales, seguridad social en salud y  educación.CSV",CSV/Ocupados.CSV,30155,0,0,0,29311,1918836.2835223658
2025,GEIH_2025_09.zip,CSV,"CSV/Características generales, seguridad social en salud y educación.CSV",CSV/Ocupados.CSV,30188,0,0,0,29266,1913957.072272737
2025,GEIH_2025_10.zip,CSV,"CSV/Características generales, seguridad social en salud y educación.CSV",CSV/Ocupados.CSV,30807,0,0,0,29881,1957645.3920079572
2025,GEIH_2025_11.zip,CSV,"CSV/Características generales, seguridad social en salud y educación.CSV",CSV/Ocupados.CSV,30939,0,0,0,30129,1989239.6414855253
2025,GEIH_2025_12.zip,CSV,"CSV/Características generales, seguridad social en salud y educación.CSV",CSV/Ocupados.CSV,29611,0,0,0,28842,1956647.68795885
