category,order,year,workers,income_total,hours_total,observations,rem_worker,rem_hour,share
Basica primaria,3.0,2021,3665834.468280343,3364678919959.838,692893060.8194368,58417,917848.0231646198,4855.98588039064,0.2082958352048781
Basica secundaria,4.0,2021,2110618.721090018,2085737714690.4158,408869912.22497934,37755,988211.5106101435,5101.225725660012,0.11992715249762231
Doctorado,6.6,2021,27734.85773622283,242336642461.23755,5363975.045247543,537,8737619.812800994,45178.55516049552,0.0015759182271983623
Especializacion,6.4,2021,522427.90648433345,3492375838809.507,104401957.70312266,9910,6684895.265858537,33451.248574671605,0.02968479838822015
Maestria,6.5,2021,266420.69474608294,1957886368356.9854,51671666.55858992,4319,7348852.423881652,37890.90808861294,0.015138250678850707
Media academica,5.1,2021,5471284.041661117,6848784252293.634,1084117515.9663525,98579,1251769.0911573106,6317.38178880803,0.31088301693980624
Media tecnica,5.2,2021,419907.00168114377,603435637048.0765,84824970.12785317,7903,1437069.7193239355,7113.891536166096,0.023859473301471822
Normalista,5.3,2021,29738.76896513506,47766501320.19011,5053693.061384744,542,1606203.046810387,9451.80103737875,0.0016897821691505784
Preescolar o ninguno,1.0,2021,629764.2886365718,438407899902.56726,112827950.6784514,9056,696146.0149665081,3885.6320376852964,0.035783742997347184
Tecnica profesional,6.1,2021,1335218.7654374416,2140504901394.73,267200591.01245007,27443,1603111.7572658306,8010.853917965303,0.0758682669210881
Tecnologica,6.2,2021,683400.4678127961,1300907739791.743,136585656.8283023,11951,1903580.4057250083,9524.482804421219,0.038831396358507006
Universitaria,6.3,2021,2436823.1582791135,7973000446270.94,475882794.08683074,49266,3271883.074150313,16754.12632131467,0.13846236631585948
Total,99.0,2021,17599173.14081032,30495822862299.863,3429693744.1130013,315678,1732798.6160658763,8891.704372918228,1.0
Basica primaria,3.0,2025,4153718.916558046,4308899272873.473,769191763.4570279,58928,1037359.3782903386,5601.853110734975,0.1809405629320947
Basica secundaria,4.0,2025,2488017.4502944397,2807529334844.485,473210491.9553256,36560,1128420.2747501764,5932.939743672327,0.10838077565782725
Doctorado,6.6,2025,58315.92061663266,541893785365.5679,10148181.551463159,876,9292381.55953952,53398.11695499653,0.0025403056191920844
Especializacion,6.4,2025,807745.6327204849,4912549996814.425,149988340.35102734,12347,6081803.228411117,32752.879225926954,0.03518628786068537
Maestria,6.5,2025,449633.8401846232,3350948512554.606,81909242.84903656,5936,7452616.358187542,40910.505286083484,0.019586544441418587
Media academica,5.1,2025,7289525.671591412,10210511629561.068,1418637051.3127656,110575,1400710.0172996526,7197.40938678611,0.31753975293510306
Media tecnica,5.2,2025,611457.6453039563,930552239510.6211,119215369.41131127,8912,1521858.8673432032,7805.639860914858,0.026635767314296278
Normalista,5.3,2025,27176.960815519,46105283659.61613,4335651.077360193,502,1696484.1643841348,10633.993104373107,0.0011838582936223988
Preescolar o ninguno,1.0,2025,667209.8273496357,496560601516.5033,116832767.64209375,8756,744234.5438600568,4250.182645999367,0.02906439366256085
Tecnica profesional,6.1,2025,1908748.280961052,3285303152190.0513,369999760.66038245,32500,1721181.9834807687,8879.203452257323,0.08314717374736313
Tecnologica,6.2,2025,1021055.4373056851,2093409681665.9932,197445793.07241106,15243,2050240.961636704,10602.452698996014,0.04447829747807275
Universitaria,6.3,2025,3473656.1259346083,10772164425245.22,642179251.6292474,56055,3101102.709856435,16774.388767490684,0.1513162800577635
Total,99.0,2025,22956261.709636096,43756427915801.625,4353093664.969452,347190,1906078.1092870391,10051.8002329979,1.0
