categoria_educativa,categoria_codigo,educacion_orden,trabajadores_2021,participacion_2021,rem_trabajador_2021,rem_hora_2021,observaciones_2021,trabajadores_2025,participacion_2025,rem_trabajador_2025,rem_hora_2025,observaciones_2025,dif_participacion,crec_trabajadores,crec_rem_trabajador,crec_rem_hora
Preescolar o ninguno,Preescolar o ninguno,1.0,704172.9612003223,0.03454480218118349,696146.0149665081,3885.6320376852964,9056,706778.5442026438,0.02966241318913996,744234.5438600568,4250.182645999367,8756,-0.004882388992043532,0.0009237699701469815,0.016839411615225508,0.02267227113673531
Básica primaria,Basica primaria,3.0,4128673.310304697,0.20254143603027977,917848.0231646198,4855.98588039064,58417,4355012.847014826,0.18277322022827092,1037359.3782903386,5601.853110734975,58928,-0.019768215802008854,0.013432272493351105,0.031073476568942215,0.03636699914474706
Básica secundaria,Basica secundaria,4.0,2399015.029092761,0.1176891249394619,988211.5106101435,5101.225725660012,37755,2589896.8525506537,0.10869400491532806,1128420.2747501764,5932.939743672327,36560,-0.008995120024133843,0.019324293345192922,0.033725532161062555,0.0384817029696376
Media académica,Media academica,5.1,6227499.27206647,0.30550410522763755,1251769.0911573106,6317.38178880803,98579,7539397.944832663,0.3164169864398984,1400710.0172996526,7197.40938678611,110575,0.010912881212260861,0.04895231400172051,0.02850404179355026,0.03314141315777741
Media técnica,Media tecnica,5.2,473906.22174668784,0.023248544867110008,1437069.7193239355,7113.891536166096,7903,635071.2926617425,0.026652969649419316,1521858.8673432032,7805.639860914858,8912,0.0034044247823093073,0.07592628572087334,0.014434790641792539,0.023470472489774075
Normalista,Normalista,5.3,32342.143301445616,0.001586617214838064,1606203.046810387,9451.80103737875,542,28263.811586546584,0.0011861888910704855,1696484.1643841348,10633.993104373107,502,-0.0004004283237675785,-0.03313579304623837,0.013765111943590203,0.029900931215428583
Técnica profesional,Tecnica profesional,6.1,1530399.0073334514,0.07507719534771234,1603111.7572658306,8010.853917965303,27443,1957192.1263402451,0.08214035643587751,1721181.9834807687,8879.203452257323,32500,0.007063161088165168,0.0634258086697208,0.01792492354522257,0.026062460363757367
Tecnológica,Tecnologica,6.2,798445.3247012739,0.03916954685008105,1903580.4057250083,9524.482804421219,11951,1045093.7764575846,0.04386098541468371,2050240.961636704,10602.452698996014,15243,0.004691438564602662,0.0696150864362528,0.018728415278203236,0.027167418874361804
Universitaria,Universitaria,6.3,3056471.6697343625,0.1499421520295046,3271883.074150313,16754.12632131467,49266,3594008.485537137,0.1508350325257071,3101102.709856435,16774.388767490684,56055,0.0008928804962025083,0.04133311844501941,-0.013312573744992506,0.0003022130598864248
Especialización,Especializacion,6.4,654922.4507209195,0.032128706654122666,6684895.265858537,33451.248574671605,9910,838876.2046553984,0.03520634971325843,6081803.228411117,32752.879225926954,12347,0.0030776430591357637,0.06384167476372249,-0.023360153504257686,-0.005260673675357208
Maestría,Maestria,6.5,339739.0897067061,0.016666671817571834,7348852.423881652,37890.90808861294,4319,474947.65387832694,0.019932825731778726,7452616.358187542,40910.505286083484,5936,0.0032661539142068916,0.08736426668656794,0.003511398447668679,0.01935382634012517
Doctorado,Doctorado,6.6,38752.602625420084,0.0019010968404967153,8737619.812800994,45178.55516049552,537,62872.602912976334,0.002638666865567327,9292381.55953952,53398.11695499653,876,0.0007375700250706117,0.12860024794389036,0.015508288848425034,0.04267365656244593
Total,Total,99.0,20384339.082534518,1.0,1732798.6160658763,8891.704372918228,315678,23827412.142630745,1.0,1906078.1092870391,10051.8002329979,347190,0.0,0.039788621202325514,0.024113639602145742,0.0311330531670031
